# Step	AvgQ	AvgP
399	-0.0622846	0.0367836
400	-0.0651302	0.0607627
401	-0.0649545	0.00038409
402	-0.063683	-0.0215861
403	-0.063683	-0.0525233
404	-0.0583475	-0.103104
405	-0.0583475	0.0731918
406	-0.0583475	-0.00178282
407	-0.0558428	-0.0466965
408	-0.0531362	-0.0508918
409	-0.0592187	0.125081
410	-0.0579502	-0.021869
411	-0.0559707	-0.0361948
412	-0.0585838	0.0557243
413	-0.0585838	-0.0538473
414	-0.0611284	0.054508
415	-0.0629577	0.0403251
416	-0.0629577	-0.110689
417	-0.0657092	0.0589158
418	-0.0657092	-0.0232653
419	-0.0617155	-0.0760942
420	-0.0594298	-0.0421049
421	-0.0594298	-0.124601
422	-0.0636852	0.0888436
423	-0.0636852	-0.0188197
424	-0.0587907	-0.0942681
425	-0.0587907	0.0254293
426	-0.0587907	-0.0896476
427	-0.0489584	-0.193515
428	-0.0489584	0.0238298
429	-0.0489584	-0.0882706
430	-0.0544394	0.112776
431	-0.0544394	-0.0231973
432	-0.0504113	-0.0774588
433	-0.0497065	-0.0111009
434	-0.0497065	0.179393
435	-0.0497065	-0.100727
436	-0.0510514	0.0299329
437	-0.0483836	-0.0504016
438	-0.0483836	0.0296552
439	-0.0531051	0.0975207
440	-0.0531051	-0.0631242
441	-0.0593358	0.12805
442	-0.0593358	-0.0127782
443	-0.0556757	-0.0697919
444	-0.0556757	0.111834
445	-0.06014	0.092805
446	-0.06014	-0.0464505
447	-0.06014	0.0273168
448	-0.06014	-0.0384811
449	-0.06014	-0.128629
450	-0.06014	0.0553012
451	-0.0623777	0.0484505
452	-0.0623777	0.00187361
453	-0.0601785	-0.0403321
454	-0.0618001	0.0361064
455	-0.059961	-0.0331492
456	-0.0635726	0.0759737
457	-0.0616151	-0.0354168
458	-0.0595271	-0.0381491
459	-0.0577337	-0.0323707
460	-0.0577337	-0.0139425
461	-0.055792	-0.0354497
462	-0.055792	0.0303445
463	-0.055792	0.0654349
464	-0.057312	0.0338082
465	-0.057312	-0.00186525
466	-0.057312	-0.0909103
467	-0.057312	0.0817055
468	-0.057312	-0.0784124
469	-0.0538269	-0.0664058
470	-0.0538269	-0.0303549
471	-0.0538269	-0.0366663
472	-0.0515508	-0.0423848
473	-0.0515508	-0.0171639
474	-0.0515508	-0.129409
475	-0.0515508	-0.00828799
476	-0.0485719	-0.0566064
477	-0.0485708	0.00289009
478	-0.0485708	0.0523954
479	-0.0485708	0.000867386
480	-0.0485708	-0.0488881
481	-0.0485708	-0.176088
482	-0.0512772	0.0571504
483	-0.0497841	-0.0268476
484	-0.0526912	0.0612439
485	-0.050288	-0.0449993
486	-0.0467473	-0.0679406
487	-0.0467473	0.153996
488	-0.0467473	0.0841353
489	-0.0467473	0.0301743
490	-0.0450957	-0.0302951
491	-0.0451971	0.00473623
492	-0.0473469	0.0457924
493	-0.0473469	-0.00361703
494	-0.0463557	-0.0170248
495	-0.0463557	-0.02044
496	-0.0463557	0.0459777
497	-0.0463557	-0.0828629
498	-0.0398138	-0.128319
499	-0.0398138	0.00781463
500	-0.0398138	0.0935523
501	-0.0398138	-0.0822207
502	-0.0398138	-0.000677835
503	-0.0398138	-0.0135375
504	-0.0384818	-0.0243067
505	-0.0407179	0.0471196
506	-0.040365	-0.00463066
507	-0.0476763	0.148941
508	-0.0476763	0.0303544
509	-0.0476763	-0.0326054
510	-0.0480275	0.0098977
511	-0.0480275	0.0041828
512	-0.0476467	-0.0047512
513	-0.0472747	-0.00459699
514	-0.0472747	0.0663671
515	-0.0472747	0.0170696
516	-0.0484326	0.0260383
517	-0.0484326	0.0656876
518	-0.0484326	-0.0292095
519	-0.0484326	0.0447708
520	-0.0482094	-0.00156691
521	-0.0458555	-0.044282
522	-0.0418322	-0.0778788
523	-0.0362244	-0.109872
524	-0.0362244	0.0447994
525	-0.0362244	0.019134
526	-0.0345089	-0.0322073
527	-0.0356361	0.024659
528	-0.0463523	0.216892
529	-0.0463523	0.0352435
530	-0.0463523	-0.0373438
531	-0.0480653	0.0371096
532	-0.043052	-0.0975859
533	-0.0404063	-0.0504377
534	-0.0404063	0.0329068
535	-0.0423251	0.0408754
536	-0.0423251	-0.0016634
537	-0.0423251	0.00958107
538	-0.0423251	-0.0451547
539	-0.0423251	0.0459705
540	-0.043427	0.0246212
541	-0.043427	0.000214043
542	-0.043427	-0.0551848
543	-0.0441066	0.0162246
544	-0.0428985	-0.0215655
545	-0.0428985	0.002479
546	-0.0428985	0.053451
547	-0.0428985	-0.030704
548	-0.0428985	0.0653365
549	-0.0428985	0.0166529
550	-0.0413027	-0.0294092
551	-0.04322	0.0409002
552	-0.0495443	0.129334
553	-0.046546	-0.0571171
554	-0.0412993	-0.102353
555	-0.0474188	0.125114
556	-0.0452505	-0.0406104
557	-0.0452505	0.0627493
558	-0.0452505	0.0131385
559	-0.0452505	0.0417258
560	-0.0417893	-0.0666483
561	-0.0376421	-0.0806052
562	-0.0376421	0.011352
563	-0.0376421	0.00896124
564	-0.0376421	0.0329466
565	-0.0376421	-0.0315636
566	-0.0376421	0.0336544
567	-0.0410468	0.0704881
568	-0.0410468	0.0451179
569	-0.0410468	-0.0731693
570	-0.0410468	-0.056539
571	-0.0410468	-0.00954783
572	-0.0401993	-0.0145222
573	-0.0401993	0.124553
574	-0.0400265	-0.00105163
575	-0.0400265	-0.0672261
576	-0.0377431	-0.0433605
577	-0.0377431	-0.0797262
578	-0.0377431	-0.092186
579	-0.0308535	-0.135805
580	-0.0349305	0.0835555
581	-0.0349305	0.0447632
582	-0.0349305	-0.111679
583	-0.0344674	-0.00718714
584	-0.0344674	0.103248
585	-0.0344674	0.00410237
586	-0.0391483	0.095873
587	-0.0380865	-0.0189293
588	-0.0380865	-0.0814588
589	-0.0380865	-0.0758112
590	-0.037779	-0.00387972
591	-0.0409959	0.0667325
592	-0.0438975	0.0606087
593	-0.0438975	-0.0195222
594	-0.0438975	0.0682487
595	-0.0438975	-0.0624765
596	-0.0438975	0.108086
597	-0.0459784	0.0443334
598	-0.0468991	0.0212093
599	-0.0511605	0.0882107
600	-0.0513644	0.0071553
601	-0.0535105	0.0460883
602	-0.0535105	0.0869284
603	-0.0513969	-0.0391475
604	-0.0513969	0.0266061
605	-0.0484464	-0.0560475
606	-0.0484464	-0.0591334
607	-0.0441261	-0.0836735
